Name,Gender,Contact,Email
Angelina Leng,F,91999188,angelina_leng@gmail.com
Benton Ling,F,99998087,benton_ling@gmail.com
Candice Yao,F,87870251,candice_yao@gmail.com
Cherilyn Schirmer,F,92907947,cherilyn_schirmer@gmail.com
Chloe Loy,F,94941926,chloe_loy@gmail.com
Dahlia Hong,F,92200960,dahlia_hong@gmail.com
Dave Khoo,M,91019442,dave_khoo@gmail.com
Devi Lieu,M,99258021,devi_lieu@gmail.com
Ee Pei Chi Neoma,F,94122287,ee_pei_chi_neoma@gmail.com
Emma Kaur,F,88850261,emma_kaur@gmail.com
Fu Peck Sian Nedra,F,85404942,fu_peck_sian_nedra@gmail.com
Gene Boo,M,86821872,gene_boo@gmail.com
Hafizah Wong,F,90251810,hafizah_wong@gmail.com
Han Teck Heng Sterling,M,86210382,han_teck_heng_sterling@gmail.com
Hayden Lin,M,87833341,hayden_lin@gmail.com
Julia Kang Siew Hui,F,90799131,julia_kang_siew_hui@gmail.com
Marcia Toy,M,82686884,marcia_toy@gmail.com
Moses Kishnani,M,85726307,moses_kishnani@gmail.com
Neoma Chen,M,82927199,neoma_chen@gmail.com
Nichole Wong,F,90505643,nichole_wong@gmail.com
Rick Fu,M,88330356,rick_fu@gmail.com
Sandy Ho,F,84750558,sandy_ho@gmail.com
Shawn Yu,M,95116135,shawn_yu@gmail.com
Taylor Choi,F,89645250,taylor_choi@gmail.com
Wyatt Danker,M,82375758,wyatt_danker@gmail.com
